n,z,density
32,1.6800000000000002,0.10187499999999991
32,1.8399999999999999,0.07906249999999994
32,2.0,0.057187499999999954
32,2.16,0.03687499999999997
32,2.3200000000000003,0.028124999999999976
32,2.4800000000000004,0.016874999999999987
32,2.64,0.014374999999999988
32,2.8,0.007499999999999994
32,2.96,0.002187499999999998
32,3.12,0.0018749999999999984
32,3.2800000000000002,0.0018749999999999984
32,3.4400000000000004,0.0006249999999999995
32,3.6,0.00031249999999999974
32,3.76,0.0
32,3.92,0.0006249999999999995
64,-3.92,0.0
64,-3.76,0.0
64,-3.6,0.00031249999999999974
64,-3.44,0.002187499999999998
64,-3.2800000000000002,0.001249999999999999
64,-3.12,0.003124999999999997
64,-2.96,0.003437499999999997
64,-2.8,0.007812499999999993
64,-2.6399999999999997,0.017187499999999984
64,-2.48,0.02093749999999998
64,-2.3200000000000003,0.029999999999999975
64,-2.16,0.04093749999999997
64,-2.0,0.04906249999999996
64,-1.8399999999999999,0.07624999999999993
64,-1.68,0.09968749999999992
64,-1.52,0.1262499999999999
64,-1.3599999999999999,0.14531249999999987
64,-1.2,0.17906249999999985
64,-1.04,0.2281249999999998
64,-0.8799999999999999,0.2565624999999998
64,-0.72,0.31343749999999976
64,-0.56,0.3309374999999997
64,-0.3999999999999999,0.3796874999999997
64,-0.24,0.3868749999999997
64,-0.08000000000000007,0.39437499999999964
64,0.08000000000000007,0.3981249999999997
64,0.2400000000000002,0.3718749999999997
64,0.40000000000000036,0.38374999999999965
64,0.56,0.3418749999999997
64,0.7199999999999998,0.3203124999999997
64,0.8799999999999999,0.2759374999999998
64,1.04,0.2374999999999998
64,1.2000000000000002,0.19593749999999982
